playlist_id,track_ids
532,19858 14375 2417 18254 7739 797 4710 14213 1473 4085
537,20145 15093 12879 6246 19956 5658 8926 233 3875 10857
545,16465 18285 6925 1830 20371 6367 5674 18547 19352 7436
564,15722 11882 6223 7416 10834 9940 2359 1513 19679 2000
567,2631 4201 7844 15974 10316 2719 8333 4072 18751 12225
580,20172 10848 648 5606 411 4949 10251 1149 4401 7506
582,17634 4909 15498 8358 14597 14714 5679 7460 358 11496
592,8709 2508 16708 19340 9003 18404 9257 1060 18275 4743
611,2980 1290 16433 19991 12426 17984 4301 3698 11157 7989
615,10081 1039 913 11016 10870 16336 14558 15694 8781 4201
619,6577 13129 11715 18303 9784 10201 3565 13089 2166 3685
622,6093 624 9051 11283 13024 6985 9429 3700 9982 18876
625,19858 7157 18254 14375 18615 5971 14213 1012 13043 16311
631,11938 16274 19494 5987 17301 2160 8595 5228 16482 6530
633,13980 14591 18728 6892 6253 14395 15578 14758 3190 3245
636,12173 9670 6 17764 3832 15633 9678 19292 10694 2212
642,13237 13006 9710 13980 1534 16820 15209 9291 17918 5881
646,3403 5846 18899 14994 15495 1144 10636 1085 13439 19414
676,573 3885 18649 2674 9712 10250 541 778 9624 6253
683,4720 1020 699 14178 3491 5534 7153 16486 5524 2006
686,18289 11654 3212 2212 14679 9961 19654 4255 19292 15633
704,3830 411 2497 14826 4401 16502 14008 8145 15771 20515
709,17663 10834 9246 9834 1992 19154 9940 14147 9473 18856
714,11756 11740 7193 20359 15347 4653 12507 15942 9491 19929
719,2680 12919 19494 10222 5054 16274 4926 2160 11769 10910
721,573 7619 360 6253 3885 18381 13139 13101 10264 13237
724,17550 19486 3410 16080 15386 10992 5746 20213 5003 10367
731,20169 4013 7153 16866 19838 12721 11357 1020 15781 797
735,10496 18728 6253 11366 17096 4364 11896 18381 360 17631
737,4089 508 2989 10481 7081 3256 9886 15038 519 5020
740,9003 2508 7544 16521 4800 12075 12623 6408 5750 56
744,3001 19991 15090 2980 15750 4058 14360 9804 14178 15775
746,9253 3860 658 19462 2236 5474 5655 3624 17563 1322
774,8160 8377 12633 10684 8360 18617 1724 11196 7669 16817
788,6103 15474 20197 10848 11226 411 18096 6214 13216 15259
818,8640 7224 13154 6823 10089 20163 9120 8437 15942 6433
859,6776 8045 7544 12623 8709 6408 1253 1060 8466 16708
914,19254 14178 15498 7163 1149 3996 4058 19602 18729 4765
924,11196 5089 4106 18266 10567 18096 10684 7485 17774 13250
925,2551 17663 20232 12712 6672 4253 9473 18856 19969 663
926,3189 14008 4514 5141 15771 19431 11664 10806 8866 18795
927,1979 16930 7363 20007 6492 8950 20497 11599 9314 6577
949,18096 8956 3347 12436 19662 12990 2873 4106 16471 15578
957,4079 2783 17971 4268 17052 5184 18111 19464 15042 7914
961,3961 9504 9473 17663 19969 8047 6624 17241 13973 3341
988,8356 17200 8001 2159 5186 15341 8218 15886 2274 16387
994,7539 9175 20262 13384 14774 11088 16351 2638 4737 16288
1016,1944 8356 4347 18830 3698 17200 371 18361 15750 4549
1021,17383 12804 5700 2915 1246 4443 8129 15392 15548 15503
1027,5965 6509 17744 10916 7427 10511 7453 15703 12536 18824
1046,12599 3097 3558 5633 10234 11320 1231 5359 3011 3790
1057,7100 9963 2090 14091 19834 10118 9007 14012 17153 12802
1065,8426 10838 18956 8145 3602 16502 12466 18287 975 344
1066,3622 7904 6466 11573 2897 7700 7076 2853 7039 17200
1087,1111 16994 13029 10591 2627 12639 37 637 4910 6353
1092,19770 9579 19466 9804 14904 19305 14306 18743 2665 8342
1099,10848 12510 15900 10269 2151 20172 10591 8866 15542 11369
1103,3698 4301 3001 4359 1489 10089 1023 13154 7989 8627
1108,15312 9060 9670 12173 3413 17764 18289 3832 12295 4255
1115,7989 9984 3424 4301 14360 817 16579 3698 10957 12715
1120,6113 18051 7133 16491 953 13105 7174 1813 4881 18897
1126,14826 20172 4910 5606 868 8491 2497 10496 2873 7506
1129,4201 10316 19024 14832 7550 6915 17404 11016 11682 19467
1147,6197 2392 8297 15312 13238 12173 11654 15543 7323 14784
1163,7544 6868 8709 8466 12931 9257 3624 1060 14430 9231
1169,11882 17586 12666 14022 14471 13406 1905 14907 4369 1365
1174,15752 6423 11174 9465 17776 17312 17080 12830 11045 6284
1238,3431 1111 10848 4910 8145 5606 19317 8018 1422 2970
1254,8018 80 2780 7009 11070 2437 1719 17568 9291 8767
1274,2674 5606 13139 541 11107 13542 8749 3885 4965 11070
1285,4346 8849 3876 1588 12668 5193 8540 13624 16905 10346
1302,1357 18763 17166 1710 6285 14827 8838 10930 7931 16297
1316,19733 3893 5482 20415 5661 16944 7070 6078 15458 4675
1319,10698 3473 9477 305 3534 12170 19776 18254 5018 8197
1341,18446 8749 16973 20443 20242 4052 19398 3648 15438 5100
1346,4347 8725 7516 18830 8356 770 11251 14949 17042 8995
1350,3242 1271 9246 20232 4253 13052 17663 8672 18824 268
1353,573 13980 16612 10264 14591 5903 18381 18389 13237 3885
1363,15771 16494 1372 12783 3996 14904 10848 15775 14178 4944
1371,16673 1944 9231 12075 4148 13803 4301 2508 5925 18361
1379,6569 2085 16128 17709 16477 18352 9083 4281 1933 18316
1383,9051 1056 19773 3700 5273 13787 17699 456 4496 15664
1390,4865 4743 11759 8169 14668 9508 11233 17200 1898 8138
1398,13906 8996 6695 4952 13041 2520 8164 10038 8466 10936
1404,5023 387 4745 6068 15640 16100 19075 2665 8342 19770
1415,12414 16630 1681 16199 104 2084 6712 2811 13561 7065
1417,11227 17748 12472 18244 10446 5700 820 18798 14017 6313
1454,16583 3453 12762 10466 2858 20461 15837 9804 10691 16995
1456,8021 18358 765 12323 13251 12997 18945 16163 6444 4355
1463,9060 9670 2186 12226 7323 2869 16861 17764 19205 18057
1481,1641 19305 4058 18743 3551 4745 4026 1020 5359 12721
1505,11774 17550 15386 13003 3410 16080 20213 7750 10367 14694
1519,1195 17568 4113 5997 482 17786 6015 18493 14665 12707
1524,14659 18231 20461 9007 17947 17247 13210 7907 6230 14046
1534,19205 8297 2392 15543 12173 3963 10002 3413 18026 16585
1542,214 20244 7066 17213 17396 13908 19295 20421 3131 13004
1545,19192 3022 6667 2423 2993 14612 12888 18369 17281 2052
1554,20172 8491 411 15771 2497 14826 14008 4288 5572 4401
1560,15312 9670 7323 18289 17764 11654 14679 3413 4255 9961
1588,9388 13129 4774 14907 11571 9718 4369 10521 19558 3511
1590,15328 7053 2700 1328 5171 4811 20197 14345 11765 1547
1601,16502 20172 10848 8145 7506 11943 4401 20515 15187 14732
1637,18599 9231 6868 6704 8709 4199 6733 6776 8045 14033
1639,18987 9093 13886 15386 20351 3410 9602 521 14694 19028
1661,6379 2994 15053 5640 5167 18578 5100 18332 13153 11951
1673,405 8138 17200 4743 8356 1502 1944 12075 1898 18361
1679,7153 6716 14247 19838 14190 4457 740 15100 226 12040
1682,14360 1290 7989 12910 2980 11753 14662 16433 10957 12426
1692,11157 12507 1290 579 18262 308 6823 13624 20372 3304
1701,1066 11407 1730 3511 5247 20373 7605 18490 7098 17150
1703,10706 15781 4026 5100 4202 3551 1900 6843 1133 10708
1712,13034 20555 13006 17826 19576 8622 5669 7001 6263 6859
1713,1069 5112 1899 15725 2436 13971 20287 10776 14173 221
1729,7989 6823 3698 3001 16673 14360 17984 14662 3424 9903
1730,5149 3961 18856 9940 9246 9473 4672 6672 12071 9834
1731,1329 10019 19396 7539 1813 2591 8296 17138 9205 1886
1734,14309 8229 4057 6981 13671 13980 12963 17239 19662 4364
1740,18701 3919 16861 2186 16585 15312 1048 20121 19205 6197
1742,14826 11943 17487 10848 17346 1422 7506 4949 15187 8145
1747,3377 6780 8296 8486 18504 17102 17321 14087 1471 10237
1755,11233 14668 6892 18617 5924 14714 4909 13542 1724 362
1766,10848 5572 20263 4401 16502 2497 2873 6103 20295 411
1807,14826 797 13216 8491 5572 2497 17984 15771 3830 17584
1814,17383 15667 17345 15503 15548 15392 17748 19135 12804 10446
1820,5817 18040 9229 12066 1247 16008 19890 13862 13185 3855
1852,14360 7989 1710 7131 13129 16297 11740 20120 2980 1290
1854,2997 10848 20172 11943 5141 2151 2780 4910 16494 8491
1871,19711 5965 10511 10916 17534 13354 12536 17315 16941 12576
1880,9118 4376 125 14007 6799 1243 19536 12718 5487 16436
1881,2581 13402 8540 4346 16433 3876 12668 1588 5193 13624
1883,15410 12622 4998 7463 2518 18110 3410 222 13731 13177
1885,10706 15781 1587 4026 18332 4202 14378 17346 5359 3790
1898,18615 1012 6409 6985 18254 7739 4710 13043 14213 13592
1904,11496 18743 4743 12311 15498 8539 8169 956 3375 4765
1907,13980 8956 6253 15578 18728 18381 15209 11366 16471 3885
1912,16820 1719 12639 17918 9941 10636 12599 7728 5881 2780
1916,8356 1944 15778 18830 11916 7256 12550 14134 6695 10434
1927,8018 8798 18982 19163 19721 6937 1895 6464 7565 15373
1953,19462 3624 16708 1300 12931 1060 19340 18275 11882 5474
1958,6408 15050 12931 9003 9257 12623 6704 1322 7544 18093
1959,8356 12075 16457 17200 8169 16521 9231 1476 56 17820
1963,3885 13980 6253 13139 8956 16760 11206 17239 4364 14395
1967,6092 15949 13370 2608 13735 18100 115 4309 11837 2596
1978,9670 15312 3413 17764 7323 6 9060 3919 19205 2186
1979,13154 20532 9202 12507 16144 1023 8437 9120 17535 9058
1986,11157 1290 18262 13119 11740 817 7989 16832 5722 3304
2005,16601 12510 4910 797 5141 8866 10591 2627 10269 16494
2014,723 19699 12718 4807 13452 10041 4809 2317 18627 7394
2015,11282 7000 13622 13155 1041 8112 8358 18285 12940 9508
2022,13593 8342 8618 8033 20444 4704 333 12196 1779 3272
2042,4013 3790 11357 5100 16820 6716 19838 16601 12639 19846
2061,4986 10654 3602 8426 18956 975 7578 5765 11750 4133
2068,13980 15578 3190 18728 11366 11490 2740 17034 16471 14591
2070,16756 8437 5020 10833 15942 11715 7989 12507 12910 6823
2080,2151 6823 15900 15542 14008 3164 19602 19214 3519 797
2125,2409 4965 5069 19411 19398 8749 16171 18906 4152 15701
2134,10496 13452 11896 8229 19662 5765 13368 14885 12718 4267
2142,4834 12587 20444 2596 13593 17346 4510 4540 10706 17547
2162,15542 14826 8828 3830 14322 2627 12510 1714 3173 797
2164,10636 16615 8281 10894 17034 7394 1231 2671 1482 15941
2171,7224 7989 4301 3698 3001 9681 12910 16338 15750 16433
2174,14826 16601 868 1149 18428 1189 1111 8539 2780 8866
2180,15578 360 6253 14395 16760 17239 18728 18649 15209 2412
2185,6925 7436 3535 7000 15624 19091 11722 4087 11282 19775
2213,4089 9288 19054 10089 1297 19624 11157 11006 17330 12507
2227,4202 20169 1111 1422 16866 10269 2018 15781 9550 9669
2229,13980 14527 2740 3190 17096 8956 3729 6253 360 15578
2240,4683 2820 3831 11202 1727 13693 2343 9231 18856 4450
2246,19773 4839 5739 5273 16225 4355 10913 14758 13312 16471
2251,1898 18040 4023 7197 13510 12066 3950 14289 19890 3855
2261,19008 6971 699 1020 13465 6600 14178 18440 14796 5630
2275,1898 9229 6453 16008 4916 13862 18040 56 4800 9003
2277,2144 17494 18358 4355 28 18945 2423 10806 8021 18369
2278,8229 8956 7610 5978 42 15314 3347 17597 18859 894
2280,3001 9903 14360 7989 8643 4359 11947 11715 19991 15916
2292,1813 7539 17928 953 9175 16491 18051 2561 5540 20262
2306,5881 13034 13550 6242 8573 8506 13006 20242 12834 19555
2307,9346 12071 6062 10833 3961 12910 15185 16289 3712 4301
2312,17200 1944 18830 8725 4543 6695 13670 2159 8138 4347
2322,12173 6 3212 19654 14679 3832 865 12295 6182 10490
2342,14826 7506 20172 12510 8539 1111 10591 8491 11943 11369
2358,28 16254 3022 18369 7963 12888 18358 19871 2993 15269
2363,3260 514 8635 19597 8456 5264 11033 6529 12358 15092
2364,8956 4444 4569 7610 42 15314 11366 13980 16471 13237
2371,10089 6220 1951 12507 11740 1023 20461 9007 8437 12765
2374,3961 18852 14370 6223 11510 12071 8047 18645 12008 17241
2375,360 4364 8956 18728 15578 14591 6253 11366 17096 18381
2389,2336 344 1422 4949 7545 1713 463 16866 11943 4202
2416,3519 13029 6444 11664 14826 868 12510 4910 18951 2151
2420,5020 8437 9491 11740 12507 6433 5722 20532 508 16484
2431,20172 4910 411 11648 11369 4514 10711 1111 1189 15771
2433,272 18726 5715 16417 19046 11157 5282 607 2203 7324
2444,15413 19398 8822 19555 3644 13550 8573 5881 3790 16820
2473,20417 12396 9345 14134 972 9201 16325 10382 2581 12769
2484,14665 10169 15710 1393 13548 15499 17786 18493 13959 7886
2515,12599 8304 16973 305 280 8197 19429 12639 12311 5359
2517,8539 7506 14826 5606 15771 4910 10848 2272 1714 20172
2519,10636 1069 8767 2317 5112 648 20287 3880 16182 12718
2524,5165 14612 11750 13129 18063 16731 4267 8608 5765 743
2527,2024 13808 1096 1058 14119 2949 8362 8985 7478 8706
2545,16338 18418 12393 14765 13123 19243 2765 17524 17404 9528
2546,15558 18575 5881 14295 15770 8573 4402 17918 7312 7517
2547,14178 10743 19008 4720 4954 3491 5534 16782 17983 19991
2559,12243 7311 18303 19152 7772 17431 18150 6492 14579 23
2561,4574 13622 9163 11282 7000 20075 13155 19364 12940 1020
2580,18096 18266 12436 411 11638 14758 12510 14008 7506 3830
2589,9903 10089 6823 11753 10715 13129 3698 817 607 16433
2593,8953 13894 15669 17701 9710 19699 11107 14770 8464 2780
2598,3173 11148 12927 5576 9429 4071 6584 15828 10013 15558
2605,3242 18852 12071 18645 14360 9984 17241 9580 7490 9246
2622,8709 9257 6776 7544 9231 2508 6704 8964 4743 12931
2624,1252 3698 14322 6823 6103 19078 1290 15893 2980 13216
2634,18275 2508 18404 16521 8045 9231 18599 11882 16708 7517
2664,1276 7321 9211 19466 17865 2712 13385 3799 4745 14597
2665,8749 7506 648 8866 956 12510 12393 14826 16601 1063
2666,16905 8540 4850 6426 15873 15750 19991 12426 10346 1290
2680,463 12488 18991 10293 2336 4949 11595 4202 1713 8066
2696,9712 8481 7092 9624 15725 5453 16381 8728 13980 15096
2697,6433 1951 6971 16673 8437 17114 14360 4359 7989 20135
2713,13043 13202 2417 14213 16277 19858 3260 11400 15092 14375
2717,2236 5474 14907 19462 18404 9253 13670 3860 3511 8138
2727,4301 3698 9903 3001 15893 7989 4944 10474 6823 4359
2730,6577 8640 4369 2989 7081 10833 16673 14360 7989 9984
2732,797 19431 16379 37 1111 10706 1714 1085 3788 963
2734,3698 3001 15750 19339 16673 9346 817 14360 7224 308
2742,19602 13029 8345 7475 10706 19431 637 8659 12639 3630
2769,11327 4379 2045 16544 1713 16105 463 8663 344 19505
2777,6660 16373 14541 10259 13787 9724 11176 10448 6139 1531
2793,9477 9804 2665 14904 11029 7321 19466 10100 358 16583
2807,12599 5881 2912 3835 5100 16973 20242 16820 16601 7009
2817,484 5048 19224 4522 13660 5608 17657 10294 11378 7229
2829,5031 17203 15428 19414 7920 1071 14994 16615 10894 1231
2833,11393 7545 1713 10839 800 1057 16663 5630 18991 16866
2837,13237 10529 17597 15907 13006 15578 13980 20362 20145 13034
2856,18059 1357 6285 6577 7931 14827 15967 8838 15537 14579
2868,7989 3698 14571 607 4301 308 6823 13129 16433 4359
2873,8418 17715 17515 14453 2088 20408 1852 3418 11155 13783
2898,9231 14033 4743 9003 16583 6408 4199 12623 7629 7544
2909,13735 13288 2608 1205 18100 115 15949 5230 6591 14878
2917,5576 2117 5100 15669 12599 1719 7009 17826 13550 15907
2922,1712 15090 12868 13846 1856 9331 3242 12988 8227 8041
2934,7000 1041 20125 4574 15923 18285 18804 9738 1830 17226
2939,9598 18795 19471 14983 8599 2357 1384 16580 3102 1497
2957,8749 5924 956 1014 5668 5846 10894 1063 11233 4603
2965,14597 7321 19075 13385 9672 3799 9211 12940 1678 13895
2973,19243 8749 4826 11257 20242 6620 1063 16973 2765 2984
2988,16852 9598 10806 18848 8599 14983 3173 2357 1384 12927
3025,15526 2489 19043 10259 1180 8265 1849 4467 17947 6442
3043,15155 9203 1911 13789 3386 15365 9839 18368 4949 10845
3045,16398 10887 4301 3471 4223 20559 1992 10834 8110 117
3049,5722 12564 5485 8361 11740 10209 17447 17406 20359 16484
3051,19662 20263 18096 6103 10848 18266 17584 3379 10878 19055
3086,1719 17918 11850 15669 11070 9710 17701 12639 19957 15699
3092,12311 20242 15438 14765 2765 5924 4965 7811 19411 8275
3103,15781 14155 13029 16866 660 3788 10706 3606 1726 12768
3105,3885 2674 16973 5881 4965 20242 9705 7811 8956 12311
3131,19814 2682 2159 163 15341 16387 4366 20366 17200 8356
3146,7077 7545 4202 3001 11112 699 9550 12768 15781 14301
3183,12393 7147 2765 7811 13123 20242 20468 15438 19730 13879
3192,5384 14826 6829 4430 16587 16998 12041 2914 2276 4903
3196,405 15090 11759 17200 4743 17820 8539 1687 1944 8356
3200,11286 18244 15548 9456 10446 5700 6313 1246 15392 2915
3201,7009 12599 3463 7728 17918 17034 12594 11850 3668 16862
3232,15209 13980 6253 18728 14395 1494 8956 15578 5928 1260
3244,6113 7133 12919 17138 15996 17732 19850 20458 10019 553
3245,2807 395 8781 4072 5139 15485 913 15694 14832 8959
3246,9278 13731 16494 3105 10591 15893 2518 4136 12622 4566
3248,6330 3075 2815 17636 8417 3517 901 7045 13917 7258
3263,15650 11257 1063 1373 12393 5924 4052 17276 20443 7109
3274,17663 14631 10834 9473 18856 15322 4253 18425 2551 4283
3278,17926 20571 16309 16923 7577 9034 13894 2930 14770 7119
3287,7416 18423 5667 10580 2435 762 12114 7298 15185 6672
3290,17346 16866 4202 7545 14378 699 4834 9550 6045 6954
3292,12436 8956 2272 18096 20152 5089 2873 15578 12563 13980
3320,7000 20371 6925 3535 15624 5778 4526 4087 7436 19352
3326,4072 5527 11016 7920 19414 10989 3641 19024 7953 5031
3329,607 3943 17982 10089 15577 12507 1290 7260 8356 2812
3334,6561 18409 16140 11330 8050 13435 20483 17947 18335 11740
3338,12488 6629 16502 7977 20515 17584 2919 5768 3494 12466
3353,1828 1357 2090 9007 14604 9392 6435 7430 13113 2085
3354,17550 11774 20213 19486 3410 18062 16355 6043 16080 9843
3357,1180 10259 4467 14012 1849 8172 15646 6442 1935 9183
3386,5722 19624 16557 9717 5485 16484 12507 5020 2247 15442
3394,12623 3860 6408 9003 7544 5474 18275 19340 4952 1060
3409,4106 6892 2891 7485 11196 6494 3347 894 8160 5089
3415,5606 8953 1196 1746 2930 1975 7728 9291 2780 2674
3477,5700 10446 11286 12472 17748 14017 18034 18376 15667 820
3482,17200 3600 7256 8138 4347 15778 8725 18830 4543 18361
3488,14826 12510 8145 3519 4910 2151 8866 5141 648 15204
3497,4743 9231 12075 8045 56 8709 6776 2508 1898 20329
3511,6971 16866 12507 15781 1023 9919 10706 3551 15090 1641
3523,17154 4189 14714 15650 10100 15969 8470 7109 11233 19904
3531,1300 5474 2236 17563 18093 8709 13670 9253 18404 19690
3532,12563 3347 5089 10496 15578 8956 18096 20263 4106 894
3535,3885 360 14591 8956 573 11107 1746 14395 2674 11206
3547,13542 15498 8749 5649 16451 7478 5940 12393 9676 14668
3561,20417 12220 20244 214 2770 11014 16325 12396 11390 19664
3567,18096 19069 20295 2272 17584 13216 14758 20197 12315 11226
3571,12639 18074 13006 9941 17826 12599 550 9826 15669 20555
3578,18051 5796 18794 16491 953 18146 18897 12801 4881 45
3589,17774 12990 18096 5089 12436 18617 2272 13216 18672 20197
3596,10930 1357 4925 16293 14579 1850 17166 18763 1828 6529
3634,18392 16548 17704 13670 13819 19462 3860 18712 5474 19112
3645,12550 8725 8138 4148 4029 6695 4347 17560 15430 13570
3650,4998 7750 10367 10470 13202 18987 20213 19486 16277 15092
3678,2272 14826 10848 13251 3830 797 14008 2151 12510 11648
3696,7478 5649 15779 8362 1461 2273 17114 7660 2204 19426
3704,1883 4414 12303 10710 7047 5063 19310 18708 2549 13024
3711,1020 7765 11474 15053 13550 19008 5633 302 12723 3097
3712,17663 9473 2551 663 4672 18856 17635 4253 5149 6672
3720,18617 18266 17774 13250 7485 18672 20263 14758 8118 12990
3728,14360 7989 9984 4695 16083 16536 6823 17114 10346 9383
3746,9441 1434 6971 14509 11417 18615 6220 18254 2132 14375
3747,18361 8356 11133 1944 12075 9231 8138 4774 8169 17200
3759,7989 14662 10833 9346 13129 9383 16536 11715 5947 6577
3780,17420 436 7400 14453 11155 2088 2418 1852 13165 13188
3784,19055 18575 2088 8466 15050 9257 16583 10921 14295 4839
3798,7827 14660 20043 19027 907 9413 9137 20008 19391 12580
3805,9231 12623 6408 2508 56 7544 4743 14033 16708 16521
3807,18051 18146 18897 953 17928 2299 16491 2561 7174 4881
3808,2886 4180 20163 1192 817 7989 7224 10089 3685 15942
3816,1195 6933 3011 14665 15713 482 13548 3790 10169 8934
3822,7478 12393 2204 1063 5924 8749 2765 956 16451 4603
3827,18266 2873 13216 2272 17774 11638 6103 14758 894 7485
3851,8491 4401 14826 17584 2272 8047 2497 16502 411 2873
3863,19556 8498 12688 2887 6529 15360 520 17780 4857 6285
3872,10848 2497 2919 20515 14008 4401 5572 1149 17584 4949
3875,2117 550 13006 3011 15926 11474 13034 13551 11255 17826
3888,12393 12311 20443 2505 19411 4052 3648 4826 12164 19243
3893,16551 4760 2931 1310 17799 4098 2758 18072 5842 18715
3898,17063 15866 2081 8377 9518 20065 10684 12633 13535 14899
3910,10691 14509 2665 9804 8112 5751 16583 394 2132 387
3916,4965 2108 16315 19398 8690 8506 16973 668 16171 13550
3918,18856 4253 11688 17663 2551 10834 19969 9246 17414 3242
3933,13139 541 10250 11070 8767 17239 17034 18649 2437 5606
3940,11233 17634 19590 13998 9913 10100 4189 5649 13542 7660
3944,797 2272 10848 18096 5572 20263 8491 19602 8047 2873
3946,11510 12815 5749 15185 10577 7416 1513 3961 6703 1466
3954,6460 8942 11251 11670 2274 17608 18448 4581 17586 6681
3959,17984 3698 2272 4523 1605 15893 14008 8627 20203 10474
3968,10711 12510 5141 10848 20167 1422 16601 1523 8767 15187
3969,14190 12187 8437 16617 13477 1078 13435 6220 8712 20461
3971,13250 8160 2891 10684 8377 19844 8118 20152 9635 17063
3984,6776 9003 2508 19340 4743 14033 12931 8709 12623 16708
4000,11916 1944 12220 4347 3445 15459 15301 15750 13940 13570
4008,5020 5722 1951 8437 12564 20359 5601 20461 16557 8361
4013,15988 6672 17635 3242 7961 7490 17663 18852 10834 17869
4023,16821 3023 20268 17203 3099 3378 12450 3281 7394 3089
4036,16126 7272 6383 7118 13661 17709 12093 15362 14858 4572
4058,4258 6086 4953 3911 20197 9502 12249 20172 417 9942
4082,4909 624 8659 15781 5304 17699 19075 19782 3551 15090
4091,5606 16494 16601 12510 8866 10848 1111 4910 11943 20167
4112,3403 5031 5846 15495 7920 17203 1071 20268 9380 14994
4119,1830 3535 4526 19352 4087 15864 5674 15624 19091 19321
4124,6672 17635 12071 9246 7416 2551 3242 18645 11510 20285
4142,14758 6892 13237 18728 3347 8229 17239 14395 14591 4106
4151,18899 20268 14994 17203 15428 15495 3403 5846 5031 13439
4154,1180 6139 4433 1849 4467 14012 6597 877 2489 15646
4165,4743 8045 6776 56 12075 8138 1898 16521 1253 14907
4174,12623 12931 6868 1060 2508 19340 18275 1653 5474 8709
4182,10038 2520 8164 7760 13041 8466 3860 13486 18593 10233
4186,11233 8749 13424 19243 10419 13542 19590 4909 17634 12311
4188,8749 12393 19590 14714 5924 19243 19733 18440 1434 11233
4189,17239 19662 14758 13216 4060 10848 12436 2272 17584 18266
4193,10081 1039 6915 19119 1014 4072 19733 18464 15485 7398
4195,4675 1492 5324 5482 14360 5455 8667 7989 10618 12526
4216,2272 2873 20172 1111 18266 16494 11664 10711 12510 13216
4226,15347 12814 6496 2085 19624 3304 6005 16822 5020 8265
4231,800 20268 14994 7153 12718 8424 8028 19838 3790 7394
4236,14022 12666 3624 1365 2730 8600 11882 18404 16859 18944
4238,19556 16930 15865 15967 7772 520 15537 8950 9927 20497
4251,9834 663 18824 14147 5149 4253 19154 15322 9246 6137
4256,8145 1189 463 4910 10711 4949 10706 3856 7506 1422
4258,8727 8749 18743 12311 1965 19466 5679 15701 1282 3375
4262,16502 8145 4949 5606 10848 10250 2674 573 20172 11107
4265,17239 15578 11107 13237 8956 10250 6253 9705 10264 13980
4267,16313 19928 9211 17349 16496 8342 9326 5023 6667 4745
4293,15669 5881 9710 12639 11070 18503 13006 18875 9826 10112
4295,2132 10691 10977 8112 6971 14904 4058 18615 6220 3685
4296,3698 11306 14499 9903 17003 11977 15466 11947 8643 9947
4297,14509 3418 4839 10921 8573 10339 14734 13188 7577 17420
4299,2551 9834 9473 4253 10834 18856 11688 18824 15722 6672
4300,16083 2980 3698 4954 1290 11157 16433 17984 15775 7085
4302,14147 19969 9940 17663 18824 19825 19154 5651 12868 2551
4307,8749 15438 2765 19733 16973 14765 7811 1063 20023 12164
4309,18361 19462 18404 2730 13670 56 2508 4369 9003 14907
