BayesianSearch: Testing config: {'num_factors': 603.8999857720203, 'reg': 0.001, 'learning_rate': 0.001} - Exception recommend() got an unexpected keyword argument 'remove_CustomItems_flag'
BayesianSearch: Testing config: {'num_factors': 1500, 'reg': 1e-06, 'learning_rate': 0.001} - Exception index (17459) out of range (>= 1)
BayesianSearch: Testing config: {'num_factors': 300, 'reg': 0.0, 'learning_rate': 0.01} - Exception index (19858) out of range (>= 1)
BayesianSearch: Testing config: {'num_factors': 700, 'reg': 0.0, 'learning_rate': 0.01} - Exception index (19858) out of range (>= 1)
BayesianSearch: Testing config: {'num_factors': 900, 'reg': 1e-06, 'learning_rate': 0.01} - Exception index (19858) out of range (>= 1)
BayesianSearch: Testing config: {'num_factors': 1500, 'reg': 1e-06, 'learning_rate': 0.001} - Exception index (19858) out of range (>= 1)
BayesianSearch: Testing config: {'num_factors': 1700, 'reg': 0.0, 'learning_rate': 0.001} - Exception index (19858) out of range (>= 1)
BayesianSearch: Testing config: {'num_factors': 700, 'reg': 0.0, 'learning_rate': 0.001} - Exception index 11595 is out of bounds for axis 0 with size 1
BayesianSearch: Testing config: {'num_factors': 1500, 'reg': 1e-06, 'learning_rate': 0.01} - Exception index 11595 is out of bounds for axis 0 with size 1
BayesianSearch: Testing config: {'num_factors': 1100, 'reg': 0.001, 'learning_rate': 0.001} - Exception index 11595 is out of bounds for axis 0 with size 1
BayesianSearch: Testing config: {'num_factors': 300, 'reg': 1e-09, 'learning_rate': 0.001} - Exception index 11595 is out of bounds for axis 0 with size 1
BayesianSearch: Testing config: {'num_factors': 700, 'reg': 1e-09, 'learning_rate': 0.01} - Exception index 11595 is out of bounds for axis 0 with size 1
BayesianSearch: Testing config: {'num_factors': 500, 'reg': 1e-06, 'learning_rate': 0.01} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 900, 'reg': 0.0, 'learning_rate': 0.01} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 1100, 'reg': 0.001, 'learning_rate': 0.001} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 1700, 'reg': 0.001, 'learning_rate': 0.01} - Exception too many indices for array
BayesianSearch: Testing config: {'num_factors': 1300, 'reg': 1e-06, 'learning_rate': 0.01} - Exception too many indices for array
BayesianSearch: Testing config: {'num_factors': 300, 'reg': 1e-06, 'learning_rate': 0.001} - Exception too many indices for array
BayesianSearch: Testing config: {'num_factors': 1300, 'reg': 0.001, 'learning_rate': 0.01} - Exception too many indices for array
BayesianSearch: Testing config: {'num_factors': 900, 'reg': 0.001, 'learning_rate': 0.001} - Exception too many indices for array
BayesianSearch: Testing config: {'num_factors': 1300, 'reg': 0.0, 'learning_rate': 0.01} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 500, 'reg': 0.001, 'learning_rate': 0.001} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 100, 'reg': 1e-06, 'learning_rate': 0.01} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 700, 'reg': 1e-06, 'learning_rate': 0.001} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 1500, 'reg': 1e-06, 'learning_rate': 0.001} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 1900, 'reg': 0.0, 'learning_rate': 0.001} - Exception recommendBatch() got an unexpected keyword argument 'remove_seen_flag'
BayesianSearch: Testing config: {'num_factors': 1700, 'reg': 0.0, 'learning_rate': 0.01} - Exception recommendBatch() got an unexpected keyword argument 'remove_seen_flag'
BayesianSearch: Testing config: {'num_factors': 1100, 'reg': 0.001, 'learning_rate': 0.01} - Exception recommendBatch() got an unexpected keyword argument 'remove_seen_flag'
BayesianSearch: Testing config: {'num_factors': 1300, 'reg': 1e-06, 'learning_rate': 0.001} - Exception recommendBatch() got an unexpected keyword argument 'remove_seen_flag'
BayesianSearch: Testing config: {'num_factors': 900, 'reg': 1e-06, 'learning_rate': 0.01} - Exception recommendBatch() got an unexpected keyword argument 'remove_seen_flag'
BayesianSearch: Testing config: {'num_factors': 900, 'reg': 0.001, 'learning_rate': 0.001} - Exception recommendBatch() got an unexpected keyword argument 'remove_seen_flag'
BayesianSearch: Testing config: {'num_factors': 700, 'reg': 1e-06, 'learning_rate': 0.01} - Exception recommendBatch() got an unexpected keyword argument 'remove_seen_flag'
BayesianSearch: Testing config: {'num_factors': 700, 'reg': 0.001, 'learning_rate': 0.01} - Exception recommendBatch() got an unexpected keyword argument 'remove_seen_flag'
BayesianSearch: Testing config: {'num_factors': 500, 'reg': 1e-09, 'learning_rate': 0.001} - Exception recommendBatch() got an unexpected keyword argument 'remove_seen_flag'
BayesianSearch: Testing config: {'num_factors': 1100, 'reg': 0.001, 'learning_rate': 0.001} - Exception recommendBatch() got an unexpected keyword argument 'remove_seen_flag'
BayesianSearch: Testing config: {'num_factors': 100, 'reg': 0.001, 'learning_rate': 0.001} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 700, 'reg': 1e-06, 'learning_rate': 0.001} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 1700, 'reg': 1e-09, 'learning_rate': 0.001} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 900, 'reg': 1e-09, 'learning_rate': 0.01} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 1500, 'reg': 1e-06, 'learning_rate': 0.01} - Exception argpartition not found
BayesianSearch: Testing config: {'num_factors': 1500, 'reg': 0.001, 'learning_rate': 0.01} - Exception too many indices for array
BayesianSearch: Testing config: {'num_factors': 300, 'reg': 1e-09, 'learning_rate': 0.01} - Exception too many indices for array
